ticker,total_earnings,earnings_analyzed,avg_1day_drift,avg_5day_drift,avg_10day_drift,avg_1day_drift_on_beat,avg_5day_drift_on_beat,avg_10day_drift_on_beat,avg_1day_drift_on_miss,avg_5day_drift_on_miss,avg_10day_drift_on_miss,big_beats_count,avg_10day_drift_on_big_beat,big_beat_win_rate,drift_10day_std,beat_drift_win_rate,best_drift_10day,worst_drift_10day
LEG,24,24,0.46481881741757897,-0.26550563300799473,-0.15503117694424517,2.2137490081350624,2.081280511843155,3.0184606741918256,-1.602098680703084,-3.038980167832082,-3.9055215464686923,11,4.818572146924831,0.8181818181818182,7.888900314429677,0.6923076923076923,14.962962962962964,-22.101910828025474
INDB,24,24,0.747843800188421,2.0285115925724857,1.3272352491036037,1.4750482142090144,2.795313820278579,3.285455352111909,-1.0182240624330208,0.16627761100054464,-3.4284421439165684,9,4.643517666428807,0.8888888888888888,8.183528213664955,0.7647058823529411,16.448598130841116,-22.02448979591837
SSD,24,24,1.0977489786954913,3.1193765625649497,3.498836009579063,1.8878268839731676,3.456214169636481,3.896143064305311,-2.8526405476928898,1.4351885272072915,1.5123007359478169,18,4.617644627363525,0.7222222222222222,6.082592458292059,0.65,17.146017699115035,-5.1037577117218245
HCA,24,24,0.7984422718240195,2.2900859464222294,3.609511301044775,1.3489846654789008,3.183180596983411,3.721268979785394,-0.5385892556235495,0.12114179505935903,3.3380997955318423,12,4.551637977270437,0.8333333333333334,4.0769148423951425,0.8235294117647058,13.180866965620321,-2.9367033603708044
NVT,24,24,0.9580409785168632,2.7530416138469587,3.402024751296407,1.0997886100999201,2.896405575234118,4.632378816692775,0.5327980837676931,2.3229497296854817,-0.28903744489269734,13,4.2598692663675575,0.8461538461538461,6.557295774094332,0.8333333333333334,16.268146883005972,-13.617245005257622
MRVL,24,24,0.3415485397770903,-1.5471941623853394,0.2984488020545573,1.3861854643123477,-0.09362344566492108,1.171908167494645,-2.792362233828682,-5.9079063125465945,-2.3219292942657055,6,4.199874730059387,1.0,9.504980742017512,0.6666666666666666,12.589227774172624,-29.29089443996777
NBTB,24,24,-0.3347738922167803,0.0048928876155524366,1.956067964551688,-0.017820893602448606,0.637447425475197,3.2705390349095183,-1.9195388852884396,-3.1578798016826704,-4.616287387237468,13,3.9053185386283555,0.7692307692307693,6.75297109039063,0.65,16.606379480434068,-13.921468638449774
ITW,24,24,-0.058416881611031646,-0.1263464289850359,1.4653129321168212,-0.021290122307337657,0.021929271061857544,1.691000190186839,-0.46681123395166574,-1.7573791295008634,-1.0172469066533742,8,3.6208799654656945,0.875,4.240760029773495,0.7727272727272727,7.3608412389987565,-10.060053841375023
FLNG,12,12,0.3097438682070897,1.4114448872053096,0.8646285688675314,0.288958184861272,1.9973157969145352,2.820650591332032,0.35131523489872507,0.2397030677868579,-3.0474154760614707,6,3.5737636161639803,0.8333333333333334,7.153236730154456,0.75,12.71415689810639,-14.9110807113543
NCNO,21,21,3.203655456327579,3.0948779820201984,3.439013439236611,2.9901732591063497,3.0414545520303706,3.0094997919890663,5.231736329929262,3.602400566923559,7.519393088088279,17,3.505811570669825,0.6470588235294118,7.358181878608781,0.631578947368421,20.824949698189137,-6.518883415435138
