ticker,earnings_date,price_at_earnings,price_vs_52w_high,price_vs_52w_low,rsi_14d,volatility_30d,avg_true_range_14d,volume_vs_avg,price_trend_30d,distance_from_ma_20,distance_from_ma_50
RMBS,2024-10-27,43.5,56.9520837447443,116.24800141251865,61.48078869476958,45.857321275264404,1.5228568485804967,0.6661497292289547,0.15009341468004733,3.512278284451927,3.756707841430514
NWBI,2024-10-27,12.27899169921875,91.16589233399452,136.69103319922925,53.84608577189028,22.26636033175347,0.2603700690621282,1.1378345493023763,-0.002246803012122705,-1.02609550402152,-1.9181194412291844
HIG,2024-10-27,110.41376495361328,91.09794559588363,166.11691309726723,44.316990588105874,24.97474171105335,2.399169949928305,2.013009958361172,0.1080203216518755,-4.965477344275599,-3.3005971630138444
SSD,2024-10-27,180.17298889160156,83.4577075191487,143.9007777447888,36.033565981371964,29.137569393309548,4.943368792482074,0.6849673877755806,-0.17078160168199805,-3.8690208787543297,-1.5175534495365195
CFLT,2024-10-27,22.530000686645508,64.24294520302087,153.3696482655559,72.45613436289922,49.4667479021299,0.8090001514979771,0.8062302648223985,0.09260178927717486,6.147162600943718,8.319914201875282
FFIV,2024-10-27,216.8699951171875,96.61424419201425,148.52074289254676,46.76805366693863,15.076504956320846,2.959284101213728,1.2975899094206136,-0.029899975667411222,-0.7089618703874606,2.7153939149137067
IBRX,2024-11-07,5.300000190734863,50.33238675343624,198.87430643900151,70.11494460769265,128.04213342586561,0.7608570541654315,1.0994452721489836,0.08279421804213807,16.393985705917522,33.93985766344612
CMPO,2024-11-07,12.981727600097656,96.84014355501048,355.1140213529521,62.114554380072484,29.969574286710422,0.4074512890407017,1.1730947308377866,0.053801950278616006,3.1257731571376146,12.9914910990649
CLMT,2024-11-07,20.260000228881836,80.11071370283253,203.20962573975518,51.538466504336725,54.87412894039301,1.1357148034232003,1.1944335040042011,0.0840000118641748,-3.574316967364874,5.673841900046039
PAR,2024-11-07,66.52999877929688,99.20966477991028,210.73804061583257,66.1680122368862,41.923237878005416,2.059999465942383,2.1830949553363967,0.4414460425116987,10.134416927616758,17.466962677740582
SPHR,2024-11-07,44.369998931884766,85.6067863484038,164.21168830563772,40.23551547273614,43.61243074433105,1.4149998256138392,0.8114408666400462,-0.06554616942952202,-0.6059545398544128,1.3629259923578037
SPH,2024-11-13,17.872068405151367,90.07809603974289,125.63292864141707,55.85560827283474,20.30348714910966,0.3689628965369179,0.7402522517745773,0.03312710516975226,1.6348184484686255,4.394106225027916
TLN,2024-11-13,206.52000427246094,94.86449571313533,397.0775061281966,67.61293610520161,62.36649072160058,11.258927481515068,1.0472739548087286,1.0599399282351467,10.622185309732071,16.92575870482942
WWD,2024-11-13,174.7634735107422,93.43636956279632,139.77465706000768,73.22422071201409,24.20544155065564,3.8193133449332715,0.7847216671994884,0.36841840733409914,4.724863520630896,5.43046833265128
WSM,2024-11-13,128.02157592773438,74.90782994097314,172.77390676042128,35.248613444542045,31.878161353890523,5.145887244628287,1.208183990442055,-0.7663023985798065,-3.766922123717846,-8.108080341978997
ATKR,2024-11-14,89.56224822998047,47.04344858189418,113.88091745574384,57.37020548070189,56.431784286877715,4.0578650114639245,0.8102639182315134,0.36471914560829144,0.8567819714160145,4.322712985684647
BKE,2024-11-14,45.26383972167969,97.91081332596858,154.60645295355536,82.56411315056859,31.490505980446926,1.2278468530766382,0.8870475359790667,0.15145749695706776,9.888627507374903,12.525939709546567
NB,2024-11-14,1.409999966621399,33.531509921615,111.02362108641528,20.481932902130907,78.45846808866122,0.1275714295251029,1.6434170561810015,-0.012958843185586091,-16.320477172781285,-19.50676712622254
SPB,2024-11-14,91.30628204345703,97.91020003526,146.73840462895274,67.22221668940654,17.035045626246397,1.971294425556518,1.2931863727454909,0.07695130718430461,2.917791541546316,2.4988014496629956
BTDR,2024-11-14,10.739999771118164,75.262785049702,284.1269802224218,67.35135166343767,134.03435185443507,1.2046428067343575,1.9308528205645716,0.10235150160062818,22.010789986616846,37.5459421180329
ASTS,2024-11-14,26.799999237060547,68.57727221436333,1360.406032885546,53.67600808145532,100.93528470715978,2.3348565782819475,1.1986223591880036,-0.02999890489758685,6.166992965279294,4.420734792108796
ACLX,2024-11-14,95.08000183105469,88.55359914208573,204.82551827126656,63.58819448080851,55.179880907723636,5.737142835344587,0.9398788052730795,0.5681201565650177,3.5132239148879156,11.025610818075336
COGT,2024-11-14,9.649999618530273,76.52656527568108,262.9427634310863,26.984111666222944,63.88800740056817,0.8002142906188965,0.8764005458687923,-0.03348833005606024,-14.15354797113975,-12.463718959819328
CELC,2024-11-14,14.109999656677246,63.592932356861596,119.67769043537457,35.68702748546738,45.16751696558012,0.869499955858503,1.4662960389159139,0.001777523537233427,-9.344985138684878,-7.166168321344407
PVH,2024-11-26,107.35675811767578,76.24979732126931,122.11467336605423,59.95518043173881,33.18929737257947,3.119385027695056,1.1923190193082884,0.26770746148335317,5.640547344545207,8.72422303088688
FIVE,2024-11-26,88.9000015258789,41.123140224732936,137.04331395386444,56.08035134973377,56.161950834448746,4.7421433585030695,1.141886339504178,-0.2866163090418404,0.6914768797943232,-2.0370547089209814
NCNO,2024-11-26,42.25,97.80092419869946,153.8041538263171,64.22763723352675,31.397761371493438,1.0404292515345983,0.48798149245140926,0.19997551804522282,4.853018729643197,16.708837923555834
SNOW,2024-11-26,171.27999877929688,72.05115173303307,159.88052195514476,83.22227131802019,99.79871296584635,8.49135753086635,1.0547815129928415,1.503214717945609,29.33674069306275,39.89052389051707
VEEV,2024-11-26,226.8800048828125,94.2662505347677,137.40310779551152,58.002158287362214,37.254240511680855,7.537858145577567,1.1452560239129428,0.20849826969744722,3.0062426544798586,5.534222645113449
ZS,2024-11-26,210.3000030517578,81.00613031774206,137.04790305254343,69.55831115943536,30.453153553486857,6.671075003487723,0.7553420116041705,0.9696997857862876,5.5995917555517325,11.82327923811943
PSTG,2024-11-26,54.599998474121094,77.54579695257662,176.1290273358745,52.11491822912893,49.741975249881,2.0832857404436385,0.7471186414553413,-0.1515595017073564,6.265992427097815,5.24529947248546
ASAN,2024-11-27,15.149999618530273,64.63310270201478,137.16613412295897,62.850455680119936,45.41346617653012,0.5868570463997977,0.6760154370725394,0.13218465005197808,7.462048997889738,18.747155728505184
MRVL,2024-11-27,89.81903076171875,94.29617110925516,179.58502901457166,39.438922012256135,37.306118549412595,2.9415110350318505,0.8003437716583887,0.4553695967253102,0.2620569582702588,10.140210513639564
IOT,2024-11-27,53.7400016784668,93.44462397305475,200.07446186637824,56.7052481839282,41.40792853742768,2.0072849818638394,0.6631487143588571,0.26044273758358694,4.146280304615846,8.10528411571397
GCT,2024-11-27,24.780000686645508,54.8472787057656,284.8276003438051,52.58899904437115,96.57624354795496,2.2625711985996793,0.4989345039225045,-0.048344821102494925,4.828988991176866,4.069113815372092
FRO,2024-11-28,16.023284912109375,60.13614883143816,101.88221849553847,33.115176436231536,41.39417780817461,0.7073107643943504,3.088432950155995,-0.08083008202880616,-12.588230683411068,-20.773565403900097
