ticker,expected_quarterly_reports,actual_reports,missing_reports,avg_days_between_earnings,std_days_between_earnings,consistency_score,last_earnings_date,days_since_last_earnings
CDNS,40,1,39,90,0,0.025,2024-10-27,352
SBCF,40,1,39,90,0,0.025,2024-10-27,352
CINF,40,1,39,90,0,0.025,2024-10-27,352
OLN,40,1,39,90,0,0.025,2024-10-27,352
RMBS,40,1,39,90,0,0.025,2024-10-27,352
NWBI,40,1,39,90,0,0.025,2024-10-27,352
HIG,40,1,39,90,0,0.025,2024-10-27,352
SSD,40,1,39,90,0,0.025,2024-10-27,352
CFLT,40,1,39,90,0,0.025,2024-10-27,352
FFIV,40,1,39,90,0,0.025,2024-10-27,352
IBRX,40,1,39,90,0,0.025,2024-11-07,341
CMPO,40,1,39,90,0,0.025,2024-11-07,341
FRHC,40,1,39,90,0,0.025,2024-11-07,341
CLMT,40,1,39,90,0,0.025,2024-11-07,341
PAR,40,1,39,90,0,0.025,2024-11-07,341
SPHR,40,1,39,90,0,0.025,2024-11-07,341
SPH,40,1,39,90,0,0.025,2024-11-13,335
TLN,40,1,39,90,0,0.025,2024-11-13,335
WWD,40,1,39,90,0,0.025,2024-11-13,335
WSM,40,1,39,90,0,0.025,2024-11-13,335
ATKR,40,1,39,90,0,0.025,2024-11-14,334
BKE,40,1,39,90,0,0.025,2024-11-14,334
NB,40,1,39,90,0,0.025,2024-11-14,334
SPB,40,1,39,90,0,0.025,2024-11-14,334
SBET,40,1,39,90,0,0.025,2024-11-14,334
BTDR,40,1,39,90,0,0.025,2024-11-14,334
ASTS,40,1,39,90,0,0.025,2024-11-14,334
ACLX,40,1,39,90,0,0.025,2024-11-14,334
YOU,40,1,39,90,0,0.025,2024-11-14,334
COGT,40,1,39,90,0,0.025,2024-11-14,334
CELC,40,1,39,90,0,0.025,2024-11-14,334
PVH,40,1,39,90,0,0.025,2024-11-26,322
FIVE,40,1,39,90,0,0.025,2024-11-26,322
NCNO,40,1,39,90,0,0.025,2024-11-26,322
NTNX,40,1,39,90,0,0.025,2024-11-26,322
SNOW,40,1,39,90,0,0.025,2024-11-26,322
VEEV,40,1,39,90,0,0.025,2024-11-26,322
VSCO,40,1,39,90,0,0.025,2024-11-26,322
ZS,40,1,39,90,0,0.025,2024-11-26,322
PSTG,40,1,39,90,0,0.025,2024-11-26,322
ASAN,40,1,39,90,0,0.025,2024-11-27,321
REX,40,1,39,90,0,0.025,2024-11-27,321
MRVL,40,1,39,90,0,0.025,2024-11-27,321
IOT,40,1,39,90,0,0.025,2024-11-27,321
GCT,40,1,39,90,0,0.025,2024-11-27,321
FRO,40,1,39,90,0,0.025,2024-11-28,320
FLNG,40,1,39,90,0,0.025,2024-11-28,320
