entry_strategy,exit_day,sizing_method,filters,stop_loss,take_profit,trade_count,avg_return,median_return,win_rate,avg_win,avg_loss,expectancy,sharpe,max_drawdown,total_pnl,score,stopped_out,hit_target,time_exit
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.7, 'vix_max': 15}",-8,12,54,7.925925925925926,12.0,79.62962962962963,12.0,-8.0,7.925925925925927,0.974819611717755,-16,17120.0,31.156741220431037,11,43,0
positive_strong,15,fixed,{'market_cap_min': 10000000000.0},-5,10,144,7.083333333333333,10.0,80.55555555555556,10.0,-5.0,7.083333333333333,1.1890159352852856,-15,40800.0,31.118901593528527,28,116,0
positive_strong,15,fixed,"{'beta_min': 1.0, 'beta_max': 1.5}",-5,10,142,7.042253521126761,10.0,80.28169014084507,10.0,-5.0,7.04225352112676,1.1758249836609018,-10,40000.0,31.018990949070314,28,114,0
positive_strong,15,fixed,{'market_cap_min': 5000000000.0},-5,10,195,7.0,10.0,80.0,10.0,-5.0,7.0,1.1636713686136022,-15,54600.0,30.91636713686136,39,156,0
positive_strong,15,fixed,"{'beta_min': 0.8, 'beta_max': 1.2}",-8,12,99,7.757575757575758,12.0,78.78787878787878,12.0,-8.0,7.757575757575756,0.9439950482532476,-24,30720.0,30.83379344421926,21,78,0
positive_strong,15,fixed,"{'beat_rate_min': 0.7, 'consecutive_beats_min': 3}",-5,10,143,6.958041958041958,10.0,79.72027972027972,10.0,-5.0,6.958041958041958,1.1496259292374922,-15,39800.0,30.81426329222445,29,114,0
positive_strong,15,fixed,"{'beat_rate_min': 0.7, 'consecutive_beats_min': 2}",-5,10,157,6.942675159235669,10.0,79.61783439490446,10.0,-5.0,6.942675159235669,1.1452959268612306,-15,43600.0,30.77694997485173,32,125,0
positive_strong,15,fixed,"{'beta_min': 1.2, 'beta_max': 2.0}",-5,10,151,6.920529801324503,10.0,79.47019867549669,10.0,-5.0,6.920529801324504,1.138441496017157,-20,41800.0,30.723115672780523,31,120,0
positive_strong,15,fixed,{'volume_spike_min': 1.5},-5,10,199,6.758793969849246,10.0,78.39195979899498,10.0,-5.0,6.758793969849247,1.0920450515252371,-15,53800.0,30.330310032790713,43,156,0
positive_strong,15,fixed,{'market_cap_min': 1000000000.0},-5,10,404,6.658415841584159,10.0,77.72277227722772,10.0,-5.0,6.658415841584157,1.0654590992347823,-15,107600.0,30.086743929725454,90,314,0
positive_strong,15,fixed,"{'beat_rate_min': 0.7, 'consecutive_beats_min': 1}",-5,10,192,6.640625,10.0,77.60416666666666,10.0,-5.0,6.640624999999998,1.0591503961559625,-15,51000.0,30.043415039615592,43,149,0
positive_strong,15,fixed,{},-5,10,412,6.614077669902913,10.0,77.42718446601941,10.0,-5.0,6.614077669902912,1.0534422553889902,-15,109000.0,29.97913063330589,93,319,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.6}",-5,10,84,6.607142857142857,10.0,77.38095238095238,10.0,-5.0,6.607142857142858,1.04656847440641,-10,22200.0,29.961799704583495,19,65,0
positive_strong,15,fixed,{'volume_spike_min': 2.0},-5,10,119,6.5966386554621845,10.0,77.31092436974791,10.0,-5.0,6.596638655462186,1.0456109553342214,-10,31400.0,29.93649386864267,27,92,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.75}",-5,10,65,6.538461538461538,10.0,76.92307692307693,10.0,-5.0,6.538461538461539,1.0265978442911001,-10,17000.0,29.794967476736808,15,50,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.65}",-5,10,82,6.524390243902439,10.0,76.82926829268293,10.0,-5.0,6.524390243902438,1.0245921661391062,-10,21400.0,29.760995801979764,19,63,0
positive_strong,15,fixed,"{'beta_min': 0.8, 'beta_max': 1.2}",-5,10,133,6.503759398496241,10.0,76.69172932330827,10.0,-5.0,6.503759398496239,1.021656872411307,-10,34600.0,29.711188243632105,31,102,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.7, 'vix_max': 20}",-5,10,72,6.25,10.0,75.0,10.0,-5.0,6.25,0.9555447889143655,-10,18000.0,29.095554478891437,18,54,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.7, 'vix_max': 25}",-5,10,72,6.25,10.0,75.0,10.0,-5.0,6.25,0.9555447889143655,-10,18000.0,29.095554478891437,18,54,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.7}",-5,10,72,6.25,10.0,75.0,10.0,-5.0,6.25,0.9555447889143655,-10,18000.0,29.095554478891437,18,54,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.7, 'vix_max': 15}",-5,10,72,6.25,10.0,75.0,10.0,-5.0,6.25,0.9555447889143655,-10,18000.0,29.095554478891437,18,54,0
